supplier_id,supplier_name,is_active
1,Arabica Trade Co,true
2,Brazil Coffee Export,true
3,Colombia Specialty Beans,true
4,Ethiopia Highlands Coffee,true
5,Vietnam Robusta Supply,true
6,Kenya Coffee Partners,true
7,India Plantation Traders,true
8,Peru Organic Coffee,true
9,Guatemala Coffee House,true
10,Costa Rica Beans Ltd,true
11,Honduras Coffee Network,true
12,Panama Coffee Imports,true
13,Nicaragua Green Beans,true
14,Mexico Coffee Supply,true
15,Sumatra Coffee Traders,true
16,Java Bean Export,true
17,Sri Lanka Tea & Coffee,true
18,Uganda Coffee Alliance,true
19,Rwanda Specialty Coffee,true
20,Burundi Coffee Export,true
21,Tanzania Coffee Co,true
22,Yemen Mocha Heritage,true
23,Pan-African Coffee Group,true
24,European Coffee Distribution,true
25,Italian Espresso Supplies,true
26,French Coffee Roasters,true
27,German Coffee Import,true
28,UK Coffee Wholesale,true
29,Netherlands Coffee Hub,true
30,Scandinavian Coffee Supply,true
31,Turkey Coffee Traders,true
32,UAE Coffee Distribution,true
33,Saudi Coffee Importers,true
34,Australia Coffee Network,true
35,Japan Coffee Select,true
36,Korea Coffee Import,true
37,China Coffee Trade,true
38,USA Coffee Wholesale,true
39,Canada Coffee Supply,true
40,Global Bean Partners,true
