delivery_id,supplier_id,store_id,product_id,quantity,delivery_date
1,35,23,35,125,2023-04-24
2,6,49,166,161,2024-06-07
3,14,4,414,194,2023-02-15
4,29,48,389,90,2023-06-08
5,33,47,233,31,2024-10-07
6,40,33,280,76,2024-09-09
7,27,37,147,115,2024-02-14
8,16,16,16,55,2023-04-09
9,17,47,217,116,2023-12-01
10,36,23,396,88,2024-11-02
11,5,40,205,178,2023-02-23
12,19,27,339,196,2024-07-11
13,26,40,466,72,2024-10-27
14,35,5,395,164,2023-09-19
15,37,39,277,156,2023-11-23
16,30,32,70,76,2023-12-01
17,11,38,131,131,2024-09-18
18,11,45,251,199,2024-05-26
19,31,25,391,88,2024-12-07
20,1,2,281,158,2023-06-02
21,6,13,6,41,2023-11-07
22,33,4,33,197,2024-12-20
23,32,45,192,189,2023-03-01
24,24,21,224,38,2024-05-01
25,19,49,99,129,2023-11-01
26,8,31,368,60,2023-09-25
27,26,22,226,46,2023-04-16
28,7,27,367,146,2024-04-12
29,14,6,334,192,2024-09-10
30,37,42,37,79,2023-09-07
31,9,22,209,154,2024-07-31
32,7,1,447,191,2023-07-02
33,31,24,191,46,2024-09-20
34,36,47,436,49,2023-06-28
35,24,17,304,172,2024-03-14
36,2,17,42,112,2024-12-25
37,27,44,347,152,2023-05-18
38,34,43,234,51,2024-08-02
39,38,37,238,53,2024-11-07
40,33,40,193,26,2023-09-19
41,22,8,262,107,2024-09-06
42,10,21,290,128,2024-10-26
43,26,34,266,157,2023-09-01
44,5,15,5,28,2023-11-26
45,40,32,40,135,2023-09-23
46,16,36,416,27,2024-02-28
47,11,45,371,152,2023-09-22
48,14,8,454,132,2023-08-13
49,35,2,435,142,2024-08-29
50,12,10,492,86,2024-02-15
51,8,18,88,169,2023-08-17
52,30,11,390,76,2024-09-11
53,34,20,474,111,2023-08-08
54,24,8,24,129,2023-02-11
55,40,8,360,42,2023-04-01
56,20,28,260,71,2024-06-06
57,33,18,353,90,2023-07-15
58,1,29,241,184,2023-10-29
59,1,47,161,23,2023-11-06
60,25,43,345,71,2023-05-09
61,12,46,332,104,2023-08-22
62,20,3,60,44,2023-12-14
63,10,40,50,126,2024-10-07
64,1,4,121,199,2023-08-23
65,23,34,183,90,2023-03-26
66,20,50,500,53,2024-11-25
67,13,36,173,46,2023-08-14
68,33,7,33,37,2024-04-26
69,4,46,44,82,2023-09-03
70,11,32,171,139,2023-11-18
71,24,46,184,70,2023-11-16
72,5,4,285,65,2024-05-11
73,30,29,150,42,2023-03-07
74,3,30,363,83,2024-03-05
75,9,46,329,54,2023-01-17
76,8,41,368,28,2024-05-28
77,6,48,6,92,2024-12-30
78,33,11,473,117,2023-05-07
79,18,12,298,64,2023-12-06
80,28,1,108,115,2023-12-07
81,9,3,249,89,2023-08-23
82,35,41,315,121,2023-11-05
83,23,13,23,176,2024-04-28
84,27,2,307,143,2023-06-19
85,18,20,458,146,2024-03-29
86,14,31,54,162,2023-02-20
87,20,25,100,126,2023-05-02
88,9,4,409,179,2023-07-04
89,35,47,75,25,2024-07-03
90,17,11,17,38,2023-11-13
91,11,34,171,34,2023-08-07
92,31,47,351,173,2024-06-10
93,7,32,327,28,2024-05-11
94,7,18,47,200,2024-07-06
95,17,12,497,146,2024-02-07
96,23,31,23,181,2024-03-20
97,1,34,241,153,2023-12-27
