order_item_id,order_id,product_id,quantity,price
1,1,131,1,6.27
2,1,390,1,4.61
3,1,141,2,4.04
4,2,138,1,4.35
5,2,452,1,17.99
6,3,287,2,3.56
7,3,94,2,4.29
8,3,350,2,5.51
9,4,153,1,4.87
10,4,209,1,2.98
11,4,217,2,4.99
12,4,183,2,4.27
13,5,29,1,5.50
14,5,249,2,3.85
15,6,398,1,6.85
16,6,107,1,3.44
17,6,196,2,4.33
18,7,436,1,3.13
19,7,450,1,2.08
20,7,333,2,5.35
21,7,288,1,5.47
22,8,183,2,4.27
23,8,380,1,4.73
24,9,428,2,2.44
25,9,140,1,4.76
26,9,411,1,7.85
27,10,439,1,2.55
28,10,40,1,2.74
29,10,107,1,3.44
30,11,183,2,4.27
31,11,404,1,5.05
32,12,244,2,3.32
33,12,272,1,3.85
34,13,383,2,4.80
35,13,499,2,7.09
36,13,401,2,7.47
37,14,257,2,4.33
38,14,207,2,6.23
39,14,354,1,3.04
40,15,148,1,4.05
41,15,470,2,22.27
42,16,123,2,6.13
43,16,487,1,13.52
44,17,202,2,4.53
45,17,413,2,4.11
46,17,242,1,3.52
47,18,153,2,4.87
48,18,60,1,4.58
49,18,327,2,4.03
50,18,281,2,5.80
51,19,56,1,4.95
52,19,333,1,5.35
53,19,3,2,2.83
54,20,95,2,5.90
55,20,390,1,4.61
56,21,142,1,5.83
57,21,366,2,8.23
58,22,106,1,5.27
59,22,16,2,3.34
60,23,61,1,3.65
61,23,195,2,5.14
62,23,280,1,5.80
63,23,297,1,5.86
64,24,336,2,5.27
65,24,453,2,16.60
66,25,9,1,3.74
67,25,102,1,6.03
68,26,481,1,27.27
69,26,367,1,4.48
70,27,260,1,5.11
71,27,30,1,3.77
72,28,11,1,2.64
73,28,3,2,2.83
74,29,189,1,6.09
75,29,60,1,4.58
76,29,376,2,7.42
77,29,49,2,4.16
78,30,337,2,4.22
79,30,105,1,5.84
80,30,388,2,8.16
81,31,135,2,2.71
82,31,273,2,3.06
83,31,118,2,5.06
84,31,170,2,3.08
85,32,214,2,4.15
86,32,51,1,3.07
87,32,112,1,4.07
88,33,99,1,4.11
89,33,194,1,6.21
90,34,109,1,6.04
91,34,484,1,5.44
92,34,108,2,3.96
93,34,258,1,4.85
94,35,391,2,8.34
95,35,272,1,3.85
96,36,344,1,7.90
97,36,59,2,5.13
98,37,112,1,4.07
99,37,311,2,4.84
100,37,394,2,7.36
101,37,491,1,10.52
102,38,379,2,6.29
103,38,492,1,29.54
104,39,233,1,5.78
105,39,77,1,5.15
106,39,149,1,3.38
107,40,296,2,4.05
108,40,214,1,4.15
109,40,287,1,3.56
110,40,156,2,4.82
111,41,68,2,5.00
112,41,316,1,5.57
113,42,92,2,5.28
114,42,446,1,4.54
115,42,394,2,7.36
116,42,41,1,6.14
117,43,274,1,3.11
118,43,70,1,3.95
119,43,304,1,5.25
120,43,337,2,4.22
121,44,59,2,5.13
122,44,109,2,6.04
123,45,236,1,5.89
124,45,450,2,2.08
125,45,420,2,2.65
126,45,60,2,4.58
127,46,204,2,3.28
128,46,429,1,2.30
129,46,302,1,3.66
130,47,238,1,4.82
131,47,140,1,4.76
132,48,453,1,16.60
133,48,394,1,7.36
134,48,112,1,4.07
135,48,419,2,5.19
136,49,227,1,4.03
137,49,127,1,4.99
138,49,269,1,3.07
139,49,151,2,5.47
140,50,386,2,8.31
141,50,359,1,5.96
142,50,15,1,5.45
143,50,496,2,8.14
144,51,329,1,8.02
145,51,30,2,3.77
146,51,356,1,6.13
147,52,135,1,2.71
148,52,286,1,3.17
149,53,403,1,5.25
150,53,272,2,3.85
151,53,279,2,4.23
152,53,284,1,4.07
153,54,86,2,6.08
154,54,150,1,4.13
155,54,89,1,4.07
156,54,248,1,5.75
157,55,262,1,3.43
158,55,285,1,4.93
159,56,379,1,6.29
160,56,43,1,3.91
161,56,437,1,6.17
162,56,142,1,5.83
163,57,131,1,6.27
164,57,143,1,2.75
165,58,8,2,2.97
166,58,40,1,2.74
167,58,410,2,8.08
168,59,149,1,3.38
169,59,44,2,5.01
170,59,22,1,6.19
171,60,11,2,2.64
172,60,453,2,16.60
173,60,372,2,6.14
174,61,61,2,3.65
175,61,433,2,6.92
176,62,293,1,3.51
177,62,448,1,3.22
178,62,83,2,2.88
179,63,170,1,3.08
180,63,335,2,6.39
181,64,67,1,2.91
182,64,248,2,5.75
183,65,360,1,5.09
184,65,214,2,4.15
185,65,308,2,5.06
186,66,172,1,3.86
187,66,151,2,5.47
188,66,173,2,4.81
189,66,94,2,4.29
190,67,177,2,2.99
191,67,43,1,3.91
192,67,349,1,7.67
193,68,18,1,5.37
194,68,333,1,5.35
195,69,139,2,6.10
196,69,350,2,5.51
197,70,484,1,5.44
198,70,403,1,5.25
199,71,152,1,5.18
200,71,117,1,5.97
201,71,411,1,7.85
202,72,53,1,2.85
203,72,394,1,7.36
204,72,289,1,4.38
205,72,276,2,3.00
206,73,486,2,27.66
207,73,146,1,2.83
208,74,37,2,5.74
209,74,149,2,3.38
210,75,111,1,6.32
211,75,474,1,13.51
212,75,311,1,4.84
213,75,333,2,5.35
214,76,152,1,5.18
215,76,94,1,4.29
216,77,70,1,3.95
217,77,302,1,3.66
218,78,105,2,5.84
219,78,167,1,5.96
220,78,235,1,4.91
221,79,424,2,3.57
222,79,99,2,4.11
223,79,376,2,7.42
224,79,118,2,5.06
225,80,111,2,6.32
226,80,107,2,3.44
227,81,343,1,7.05
228,81,195,2,5.14
229,81,333,1,5.35
230,81,74,1,6.39
231,82,175,1,4.03
232,82,387,2,8.17
233,83,268,2,3.45
234,83,388,1,8.16
235,83,62,2,3.70
236,84,369,2,4.89
237,84,72,1,4.26
238,85,241,2,4.27
239,85,205,1,4.58
240,85,490,2,23.99
241,86,253,2,4.11
242,86,261,1,5.96
243,86,397,1,4.47
244,87,466,1,23.16
245,87,342,2,5.32
246,87,104,1,4.86
247,87,491,2,10.52
248,88,480,2,29.87
249,88,457,1,24.99
250,88,31,1,4.05
