order_id,customer_id,store_id,employee_id,order_date,total_amount
1,1252,26,151,2024-10-28,18.96
2,7839,39,232,2024-01-24,22.34
3,5639,23,136,2024-07-09,26.72
4,7580,25,149,2024-07-27,26.37
5,6084,9,54,2024-10-25,13.20
6,9934,37,222,2024-01-15,18.95
7,111,10,58,2024-09-19,21.38
8,3045,27,161,2024-11-14,13.27
9,9857,3,14,2024-04-05,17.49
10,6625,17,100,2024-08-17,8.73
11,6619,41,243,2024-07-09,13.59
12,8860,20,119,2024-12-12,10.49
13,3325,43,254,2024-10-22,38.72
14,2745,50,298,2024-01-09,24.16
15,4393,23,133,2024-07-08,48.59
16,265,29,169,2024-07-16,25.78
17,5002,46,273,2024-06-05,20.80
18,7543,7,39,2024-01-04,33.98
19,6025,10,60,2024-06-09,15.96
20,933,46,274,2024-09-07,16.41
21,8586,31,181,2024-03-09,22.29
22,6540,6,32,2024-06-26,11.95
23,3356,19,111,2024-09-12,25.59
24,1193,38,225,2024-11-20,43.74
25,8842,22,130,2024-04-06,9.77
26,5584,49,289,2024-10-23,31.75
27,3979,9,49,2024-07-16,8.88
28,366,18,104,2024-08-29,8.30
29,9848,25,150,2024-09-21,33.83
30,4273,18,104,2024-07-12,30.60
31,991,34,202,2024-09-13,27.82
32,5694,9,50,2024-12-05,15.44
33,120,43,254,2024-05-23,10.32
34,9346,15,86,2024-12-23,24.25
35,5521,33,194,2024-04-27,20.53
36,232,47,279,2024-01-05,18.16
37,5692,30,175,2024-08-16,38.99
38,7537,37,220,2024-11-03,42.12
39,4019,2,12,2024-04-17,14.31
40,3263,32,187,2024-03-13,25.45
41,3997,32,187,2024-08-20,15.57
42,5034,6,33,2024-06-11,35.96
43,6834,2,9,2024-03-11,20.75
44,9708,28,166,2024-12-10,22.34
45,3219,46,272,2024-09-29,24.51
46,1159,9,51,2024-10-05,12.52
47,7813,18,107,2024-01-14,9.58
48,5416,16,93,2024-01-03,38.41
49,1735,47,282,2024-07-09,23.03
50,6782,28,168,2024-05-07,44.31
51,5970,6,36,2024-12-17,21.69
52,4243,20,119,2024-01-02,5.88
53,6766,50,298,2024-07-28,25.48
54,3743,19,109,2024-06-12,26.11
55,8541,14,81,2024-02-10,8.36
56,41,43,258,2024-07-10,22.20
57,8459,29,173,2024-06-24,9.02
58,4389,42,252,2024-04-07,24.84
59,6010,14,80,2024-08-14,19.59
60,5332,35,207,2024-10-23,50.76
61,3210,44,260,2024-08-10,21.14
62,4266,42,247,2024-02-13,12.49
63,580,36,215,2024-04-15,15.86
64,2400,40,238,2024-07-29,14.41
65,8323,42,251,2024-02-04,23.51
66,6902,33,197,2024-10-12,33.00
67,3626,10,57,2024-12-18,17.56
68,5012,46,271,2024-03-04,10.72
69,4752,2,7,2024-08-13,23.22
70,849,33,198,2024-01-03,10.69
71,8966,39,230,2024-06-05,19.00
72,9567,49,289,2024-08-09,20.59
73,569,18,104,2024-01-12,58.15
74,639,9,49,2024-09-28,18.24
75,2899,30,177,2024-02-28,35.37
76,5400,32,188,2024-12-29,9.47
77,5160,17,97,2024-07-05,7.61
78,5683,31,181,2024-04-28,22.55
79,8108,39,234,2024-07-30,40.32
80,9490,50,298,2024-11-10,19.52
81,2677,42,247,2024-01-04,29.07
82,8957,28,164,2024-02-24,20.37
83,4488,5,25,2024-02-07,22.46
84,6152,22,128,2024-05-31,14.04
85,8273,6,34,2024-05-15,61.10
86,2826,16,91,2024-08-24,18.65
87,9791,37,218,2024-01-22,59.70
88,8856,47,281,2024-08-10,92.63
89,6165,26,152,2024-10-17,9.76
90,6207,46,274,2024-08-14,29.06
91,3958,26,155,2024-01-19,48.40
92,3714,36,215,2024-12-03,37.71
93,8399,41,246,2024-02-07,17.09
94,8488,43,256,2024-04-02,25.28
95,9625,6,31,2024-01-22,24.86
96,3660,17,102,2024-10-20,9.18
97,8480,27,159,2024-08-26,58.62
98,7686,36,213,2024-01-10,16.37
99,7100,26,155,2024-12-21,17.44
100,5282,37,219,2024-03-07,11.00
101,1373,7,38,2024-05-23,36.04
102,8623,35,205,2024-10-25,20.23
103,4597,45,269,2024-04-24,90.33
104,4337,37,219,2024-11-17,20.94
105,2491,25,146,2024-05-24,11.84
106,436,45,265,2024-04-06,59.54
107,9984,47,281,2024-01-13,29.34
108,3615,35,208,2024-05-18,39.73
109,2072,17,99,2024-05-26,10.44
110,9530,37,221,2024-08-10,23.50
111,9701,16,92,2024-03-11,33.81
112,5644,8,44,2024-07-09,26.86
113,884,10,59,2024-05-21,51.40
114,6799,31,186,2024-10-02,12.32
115,5731,7,40,2024-01-29,28.54
116,5372,14,84,2024-07-23,14.75
117,8505,42,249,2024-11-06,16.36
118,4400,42,250,2024-05-06,23.36
119,6666,17,99,2024-08-26,29.07
120,1484,43,257,2024-07-06,10.45
121,6647,40,236,2024-08-11,14.07
122,1619,24,143,2024-07-30,39.06
123,6596,32,188,2024-02-14,20.58
124,1515,4,23,2024-05-05,23.17
125,1974,48,285,2024-04-22,42.84
126,3534,10,57,2024-02-11,24.39
127,7047,2,11,2024-05-22,19.71
128,1426,15,88,2024-03-31,18.54
129,1713,8,44,2024-04-24,29.97
130,9336,5,28,2024-01-26,31.82
131,7092,48,286,2024-10-16,20.72
132,2158,6,33,2024-07-28,14.35
133,3561,29,172,2024-09-24,21.21
