payment_id,order_id,payment_date,payment_method,amount,status
1,1,2024-10-30,Cash,18.96,Paid
2,2,2024-01-26,Mobile Pay,22.34,Refunded
3,3,2024-07-10,Mobile Pay,26.72,Paid
4,4,2024-07-29,Cash,26.37,Paid
5,5,2024-10-25,Mobile Pay,13.20,Paid
6,6,2024-01-16,Mobile Pay,18.95,Paid
7,7,2024-09-19,Mobile Pay,21.38,Refunded
8,8,2024-11-16,Card,13.27,Paid
9,9,2024-04-05,Card,17.49,Paid
10,10,2024-08-18,Card,8.73,Paid
11,11,2024-07-10,Mobile Pay,13.59,Paid
12,12,2024-12-12,Card,10.49,Refunded
13,13,2024-10-23,Cash,38.72,Paid
14,14,2024-01-09,Card,24.16,Paid
15,15,2024-07-09,Mobile Pay,48.59,Paid
16,16,2024-07-18,Cash,25.78,Paid
17,17,2024-06-06,Mobile Pay,20.80,Paid
18,18,2024-01-04,Card,33.98,Paid
19,19,2024-06-11,Cash,15.96,Paid
20,20,2024-09-08,Card,16.41,Paid
21,21,2024-03-11,Cash,22.29,Refunded
22,22,2024-06-27,Mobile Pay,11.95,Paid
23,23,2024-09-12,Card,25.59,Paid
24,24,2024-11-21,Cash,43.74,Refunded
25,25,2024-04-08,Cash,9.77,Paid
26,26,2024-10-23,Card,31.75,Paid
27,27,2024-07-17,Cash,8.88,Paid
28,28,2024-08-29,Mobile Pay,8.30,Paid
29,29,2024-09-22,Cash,33.83,Refunded
30,30,2024-07-13,Card,30.60,Paid
31,31,2024-09-13,Cash,27.82,Refunded
32,32,2024-12-07,Card,15.44,Refunded
33,33,2024-05-23,Card,10.32,Paid
34,34,2024-12-23,Cash,24.25,Refunded
35,35,2024-04-29,Mobile Pay,20.53,Paid
36,36,2024-01-07,Mobile Pay,18.16,Refunded
37,37,2024-08-17,Mobile Pay,38.99,Paid
38,38,2024-11-05,Mobile Pay,42.12,Paid
39,39,2024-04-18,Mobile Pay,14.31,Paid
40,40,2024-03-13,Mobile Pay,25.45,Paid
41,41,2024-08-20,Card,15.57,Paid
42,42,2024-06-13,Mobile Pay,35.96,Paid
43,43,2024-03-12,Card,20.75,Refunded
44,44,2024-12-11,Mobile Pay,22.34,Paid
45,45,2024-09-29,Cash,24.51,Refunded
46,46,2024-10-05,Cash,12.52,Paid
47,47,2024-01-14,Card,9.58,Refunded
48,48,2024-01-05,Card,38.41,Paid
49,49,2024-07-10,Card,23.03,Paid
50,50,2024-05-09,Cash,44.31,Paid
51,51,2024-12-18,Mobile Pay,21.69,Paid
52,52,2024-01-04,Cash,5.88,Paid
53,53,2024-07-30,Cash,25.48,Paid
54,54,2024-06-14,Card,26.11,Paid
55,55,2024-02-11,Card,8.36,Paid
56,56,2024-07-10,Card,22.20,Paid
57,57,2024-06-24,Mobile Pay,9.02,Paid
58,58,2024-04-07,Card,24.84,Paid
59,59,2024-08-15,Card,19.59,Paid
60,60,2024-10-25,Mobile Pay,50.76,Paid
61,61,2024-08-10,Card,21.14,Refunded
62,62,2024-02-15,Card,12.49,Paid
63,63,2024-04-17,Card,15.86,Paid
64,64,2024-07-31,Mobile Pay,14.41,Paid
65,65,2024-02-04,Card,23.51,Paid
66,66,2024-10-12,Cash,33.00,Refunded
67,67,2024-12-20,Cash,17.56,Refunded
68,68,2024-03-06,Cash,10.72,Paid
69,69,2024-08-14,Mobile Pay,23.22,Paid
70,70,2024-01-04,Cash,10.69,Paid
71,71,2024-06-05,Card,19.00,Paid
72,72,2024-08-10,Card,20.59,Refunded
73,73,2024-01-13,Card,58.15,Paid
74,74,2024-09-28,Card,18.24,Paid
75,75,2024-02-28,Cash,35.37,Paid
76,76,2024-12-29,Cash,9.47,Refunded
77,77,2024-07-07,Mobile Pay,7.61,Paid
78,78,2024-04-28,Mobile Pay,22.55,Paid
79,79,2024-08-01,Card,40.32,Refunded
80,80,2024-11-12,Card,19.52,Paid
81,81,2024-01-04,Cash,29.07,Paid
82,82,2024-02-26,Cash,20.37,Paid
83,83,2024-02-07,Card,22.46,Paid
84,84,2024-05-31,Card,14.04,Paid
85,85,2024-05-15,Card,61.10,Paid
86,86,2024-08-24,Card,18.65,Paid
87,87,2024-01-23,Mobile Pay,59.70,Paid
88,88,2024-08-10,Card,92.63,Paid
89,89,2024-10-17,Mobile Pay,9.76,Refunded
90,90,2024-08-14,Cash,29.06,Paid
91,91,2024-01-20,Mobile Pay,48.40,Paid
92,92,2024-12-05,Mobile Pay,37.71,Paid
93,93,2024-02-07,Card,17.09,Paid
94,94,2024-04-03,Cash,25.28,Refunded
95,95,2024-01-24,Mobile Pay,24.86,Paid
96,96,2024-10-21,Cash,9.18,Paid
97,97,2024-08-28,Card,58.62,Paid
98,98,2024-01-12,Card,16.37,Paid
99,99,2024-12-23,Mobile Pay,17.44,Paid
100,100,2024-03-09,Mobile Pay,11.00,Paid
101,101,2024-05-24,Card,36.04,Paid
102,102,2024-10-26,Mobile Pay,20.23,Paid
103,103,2024-04-25,Mobile Pay,90.33,Refunded
104,104,2024-11-18,Cash,20.94,Paid
105,105,2024-05-25,Card,11.84,Paid
106,106,2024-04-08,Cash,59.54,Paid
107,107,2024-01-14,Mobile Pay,29.34,Paid
108,108,2024-05-19,Card,39.73,Paid
109,109,2024-05-28,Cash,10.44,Paid
110,110,2024-08-12,Cash,23.50,Paid
111,111,2024-03-13,Card,33.81,Refunded
112,112,2024-07-11,Card,26.86,Paid
113,113,2024-05-23,Cash,51.40,Paid
114,114,2024-10-04,Card,12.32,Paid
115,115,2024-01-30,Cash,28.54,Paid
116,116,2024-07-23,Cash,14.75,Paid
117,117,2024-11-07,Cash,16.36,Paid
118,118,2024-05-06,Cash,23.36,Paid
119,119,2024-08-28,Card,29.07,Refunded
120,120,2024-07-08,Card,10.45,Paid
121,121,2024-08-12,Mobile Pay,14.07,Refunded
122,122,2024-08-01,Cash,39.06,Paid
123,123,2024-02-16,Cash,20.58,Paid
124,124,2024-05-05,Mobile Pay,23.17,Paid
125,125,2024-04-23,Cash,42.84,Refunded
126,126,2024-02-13,Card,24.39,Paid
127,127,2024-05-22,Card,19.71,Paid
128,128,2024-03-31,Cash,18.54,Paid
129,129,2024-04-24,Card,29.97,Paid
130,130,2024-01-27,Cash,31.82,Paid
131,131,2024-10-17,Mobile Pay,20.72,Paid
132,132,2024-07-29,Card,14.35,Paid
133,133,2024-09-24,Cash,21.21,Paid
134,134,2024-07-16,Card,13.46,Paid
135,135,2024-11-06,Mobile Pay,12.51,Paid
136,136,2024-09-13,Card,23.06,Paid
137,137,2024-11-09,Card,10.65,Paid
138,138,2024-04-30,Mobile Pay,16.88,Paid
139,139,2024-07-14,Mobile Pay,78.99,Paid
140,140,2024-06-30,Cash,22.86,Paid
141,141,2024-06-01,Cash,57.20,Paid
142,142,2024-01-27,Card,15.95,Paid
