product_id,product_name,price,category_id,supplier_id
1,Espresso 1,3.59,1,1
2,Espresso 2,4.45,1,2
3,Espresso 3,2.83,1,3
4,Espresso 4,3.85,1,4
5,Espresso 5,2.79,1,5
6,Espresso 6,2.54,1,6
7,Espresso 7,3.64,1,7
8,Espresso 8,2.97,1,8
9,Espresso 9,3.74,1,9
10,Espresso 10,5.47,1,10
11,Espresso 11,2.64,1,11
12,Espresso 12,5.00,1,12
13,Espresso 13,3.04,1,13
14,Espresso 14,5.68,1,14
15,Espresso 15,5.45,1,15
16,Espresso 16,3.34,1,16
17,Espresso 17,5.89,1,17
18,Espresso 18,5.37,1,18
19,Espresso 19,2.80,1,19
20,Espresso 20,4.13,1,20
21,Espresso 21,5.30,1,21
22,Espresso 22,6.19,1,22
23,Espresso 23,3.19,1,23
24,Espresso 24,3.51,1,24
25,Espresso 25,5.60,1,25
26,Americano 1,6.35,2,26
27,Americano 2,2.88,2,27
28,Americano 3,2.86,2,28
29,Americano 4,5.50,2,29
30,Americano 5,3.77,2,30
31,Americano 6,4.05,2,31
32,Americano 7,6.01,2,32
33,Americano 8,5.48,2,33
34,Americano 9,5.14,2,34
35,Americano 10,5.97,2,35
36,Americano 11,5.43,2,36
37,Americano 12,5.74,2,37
38,Americano 13,5.07,2,38
39,Americano 14,4.87,2,39
40,Americano 15,2.74,2,40
41,Americano 16,6.14,2,1
42,Americano 17,6.15,2,2
43,Americano 18,3.91,2,3
44,Americano 19,5.01,2,4
45,Americano 20,2.57,2,5
46,Americano 21,4.50,2,6
47,Americano 22,4.99,2,7
48,Americano 23,3.68,2,8
49,Americano 24,4.16,2,9
50,Americano 25,5.84,2,10
51,Cappuccino 1,3.07,3,11
52,Cappuccino 2,4.32,3,12
53,Cappuccino 3,2.85,3,13
54,Cappuccino 4,4.04,3,14
55,Cappuccino 5,6.03,3,15
56,Cappuccino 6,4.95,3,16
57,Cappuccino 7,2.62,3,17
58,Cappuccino 8,5.93,3,18
59,Cappuccino 9,5.13,3,19
60,Cappuccino 10,4.58,3,20
61,Cappuccino 11,3.65,3,21
62,Cappuccino 12,3.70,3,22
63,Cappuccino 13,3.23,3,23
64,Cappuccino 14,4.99,3,24
65,Cappuccino 15,2.70,3,25
66,Cappuccino 16,6.28,3,26
67,Cappuccino 17,2.91,3,27
68,Cappuccino 18,5.00,3,28
69,Cappuccino 19,4.80,3,29
70,Cappuccino 20,3.95,3,30
71,Cappuccino 21,3.61,3,31
72,Cappuccino 22,4.26,3,32
73,Cappuccino 23,3.82,3,33
74,Cappuccino 24,6.39,3,34
75,Cappuccino 25,5.08,3,35
76,Latte 1,4.57,4,36
77,Latte 2,5.15,4,37
78,Latte 3,4.48,4,38
79,Latte 4,3.09,4,39
80,Latte 5,2.59,4,40
81,Latte 6,6.38,4,1
82,Latte 7,5.88,4,2
83,Latte 8,2.88,4,3
84,Latte 9,4.94,4,4
85,Latte 10,5.64,4,5
86,Latte 11,6.08,4,6
87,Latte 12,2.76,4,7
88,Latte 13,3.03,4,8
89,Latte 14,4.07,4,9
90,Latte 15,4.91,4,10
91,Latte 16,2.83,4,11
92,Latte 17,5.28,4,12
93,Latte 18,5.52,4,13
94,Latte 19,4.29,4,14
95,Latte 20,5.90,4,15
96,Latte 21,4.06,4,16
97,Latte 22,5.83,4,17
98,Latte 23,4.03,4,18
99,Latte 24,4.11,4,19
100,Latte 25,4.01,4,20
101,Flat White 1,5.34,5,21
102,Flat White 2,6.03,5,22
