supplier_id,supplier_name,is_active
1,Arabica Trade Co,True
2,Brazil Coffee Export,True
3,Colombia Specialty Beans,True
4,Ethiopia Highlands Coffee,True
5,Vietnam Robusta Supply,True
6,Kenya Coffee Partners,True
7,India Plantation Traders,True
8,Peru Organic Coffee,True
9,Guatemala Coffee House,True
10,Costa Rica Beans Ltd,True
11,Honduras Coffee Network,True
12,Panama Coffee Imports,True
13,Nicaragua Green Beans,True
14,Mexico Coffee Supply,True
15,Sumatra Coffee Traders,True
16,Java Bean Export,True
17,Sri Lanka Tea & Coffee,True
18,Uganda Coffee Alliance,True
19,Rwanda Specialty Coffee,True
20,Burundi Coffee Export,True
21,Tanzania Coffee Co,True
22,Yemen Mocha Heritage,True
23,Pan-African Coffee Group,True
24,European Coffee Distribution,True
25,Italian Espresso Supplies,True
26,French Coffee Roasters,True
27,German Coffee Import,True
28,UK Coffee Wholesale,True
29,Netherlands Coffee Hub,True
30,Scandinavian Coffee Supply,True
31,Turkey Coffee Traders,True
32,UAE Coffee Distribution,True
33,Saudi Coffee Importers,True
34,Australia Coffee Network,True
35,Japan Coffee Select,True
36,Korea Coffee Import,True
37,China Coffee Trade,True
38,USA Coffee Wholesale,True
39,Canada Coffee Supply,True
40,Global Bean Partners,True
